word,IDF
child,3.846200539583027
earth,3.846200539583027
blood,3.846200539583027
stand,3.846200539583027
save,3.846200539583027
looks,3.846200539583027
hearts,3.846200539583027
power,3.846200539583027
cruel,3.846200539583027
again,3.846200539583027
bring,3.846200539583027
strong,3.846200539583027
bright,3.846200539583027
without,3.846200539583027
lose,3.846200539583027
skill,3.846200539583027
treasure,3.846200539583027
view,3.846200539583027
summer,3.846200539583027
store,3.846200539583027
past,3.9639835752394106
glass,3.9639835752394106
lest,3.9639835752394106
very,3.9639835752394106
kind,3.9639835752394106
sing,3.9639835752394106
steal,3.9639835752394106
back,3.9639835752394106
breast,3.9639835752394106
faults,3.9639835752394106
soul,3.9639835752394106
fresh,3.9639835752394106
virtue,3.9639835752394106
disgrace,3.9639835752394106
ah,3.9639835752394106
